State,ERA,TOT_REVENUE,TOT_EXPENDITURE,GRADES_ALL_G,FIPS,Percentage
MASSACHUSETTS,1994,6410757.0,6391131.0,893727.0,25.0,0.22360953334686504
MICHIGAN,1994,11762546.0,12023935.0,1614784.0,26.0,0.1236366792948865
MINNESOTA,1994,5262482.0,5581140.0,821693.0,27.0,0.24326002593634982
MISSISSIPPI,1994,1911579.0,1919812.0,505962.0,28.0,0.3956600419074227
MISSOURI,1994,4488359.0,4575564.0,878541.0,29.0,0.22748352341631423
MONTANA,1994,878986.0,878084.0,164341.0,30.0,1.2282333520175919
NEBRASKA,1994,1710913.0,1769248.0,287100.0,31.0,0.6993889991792526
NEVADA,1994,1266549.0,1344245.0,250747.0,32.0,0.8015983726829425
PENNSYLVANIA,1994,13271564.0,13701725.0,1764946.0,42.0,0.11310574536345856
TENNESSEE,1994,3535898.0,3661470.0,881425.0,47.0,0.22673751550718588
TEXAS,1994,19713604.0,19224149.0,3677171.0,48.0,0.05425589026052351
VERMONT,1994,892124.0,869710.0,104533.0,50.0,1.9446259472005771
VIRGINIA,1994,6125739.0,6276362.0,1060809.0,51.0,0.1883237392745664
WASHINGTON,1994,5739012.0,5968590.0,938314.0,53.0,0.21296138072453863
WISCONSIN,1994,5682439.0,5860230.0,860581.0,55.0,0.23224204419587066
WYOMING,1994,674921.0,623146.0,100314.0,56.0,2.0280716029292107
CALIFORNIA,1995,29512214.0,30097549.0,5536406.0,6.0,0.03604719635025299
COLORADO,1995,3709875.0,3766191.0,656279.0,8.0,0.3049134626553607
CONNECTICUT,1995,4420632.0,4252186.0,517935.0,9.0,0.38667286893824865
DELAWARE,1995,802018.0,772669.0,108461.0,10.0,1.8738376570924051
FLORIDA,1995,13242710.0,13473977.0,2176222.0,12.0,0.09175674849038302
GEORGIA,1995,7052825.0,7292267.0,1311126.0,13.0,0.15239116635386374
HAWAII,1995,1173579.0,1157159.0,187180.0,15.0,1.0773010773010774
KANSAS,1995,2826943.0,2756682.0,463008.0,20.0,0.4327426775383774
KENTUCKY,1995,3508673.0,3415870.0,659821.0,21.0,0.30327168582573505
LOUISIANA,1995,3791795.0,3735603.0,797366.0,22.0,0.2508263439325799
MAINE,1995,1446745.0,1438795.0,213569.0,23.0,0.9429324964315086
MARYLAND,1995,5580123.0,5610071.0,805544.0,24.0,0.24827359625859777
MASSACHUSETTS,1995,7326904.0,6706082.0,915007.0,25.0,0.21850753330733877
MICHIGAN,1995,12500208.0,12477806.0,1641456.0,26.0,0.12168633471610488
MINNESOTA,1995,5744447.0,6155324.0,835166.0,27.0,0.23944664420629136
MISSISSIPPI,1995,2118973.0,2160068.0,506272.0,28.0,0.39561590157790266
MISSOURI,1995,4852467.0,4957215.0,889881.0,29.0,0.22469100762935781
MONTANA,1995,911284.0,899635.0,165547.0,30.0,1.2197955390334572
NEBRASKA,1995,1832463.0,1874253.0,289744.0,31.0,0.6933125745006933
NEVADA,1995,1367710.0,1381200.0,265041.0,32.0,0.7584224812390229
PENNSYLVANIA,1995,13957035.0,14135826.0,1787533.0,42.0,0.11173103008729021
TENNESSEE,1995,3870164.0,3958973.0,893770.0,47.0,0.22371113789913374
TEXAS,1995,20483376.0,20198924.0,3748167.0,48.0,0.053254362052783485
VERMONT,1995,934916.0,891398.0,105565.0,50.0,1.9262334652891764
VIRGINIA,1995,6354418.0,6590998.0,1079854.0,51.0,0.1850891443129389
WASHINGTON,1995,5985425.0,6200754.0,956572.0,53.0,0.20899309327586982
WISCONSIN,1995,6006745.0,6056854.0,870175.0,55.0,0.2297910571540464
WYOMING,1995,634237.0,642935.0,99859.0,56.0,2.0385432845581626
CALIFORNIA,1996,31282981.0,31561692.0,5686198.0,6.0,0.03511486748711604
COLORADO,1996,3891203.0,4075165.0,673438.0,8.0,0.2972706503316742
CONNECTICUT,1996,4686025.0,4538234.0,527129.0,9.0,0.38009418566344144
DELAWARE,1996,860410.0,823530.0,110549.0,10.0,1.8387331533905098
FLORIDA,1996,13684457.0,13936240.0,2242212.0,12.0,0.08909855121113322
GEORGIA,1996,7764687.0,7934236.0,1346761.0,13.0,0.14842742040430856
HAWAII,1996,1199019.0,1231550.0,187653.0,15.0,1.0751008580339012
KANSAS,1996,2914544.0,3007653.0,466293.0,20.0,0.4298972424977977
KENTUCKY,1996,3622788.0,3826435.0,656089.0,21.0,0.3051553831030144
LOUISIANA,1996,3879633.0,3815375.0,793296.0,22.0,0.25224314419309996
MAINE,1996,1485138.0,1465093.0,213593.0,23.0,0.9433025988081116
MARYLAND,1996,5688918.0,5825606.0,818583.0,24.0,0.244432007857093
MASSACHUSETTS,1996,7129757.0,7479576.0,933898.0,25.0,0.21418561179179785
MICHIGAN,1996,13012080.0,13071893.0,1685714.0,26.0,0.11854716763733594
MINNESOTA,1996,6101416.0,6423285.0,847204.0,27.0,0.23615488731767803
MISSISSIPPI,1996,2241561.0,2268726.0,503967.0,28.0,0.39763253255666164
MISSOURI,1996,5251014.0,5277785.0,900517.0,29.0,0.2221428324991848
MONTANA,1996,944623.0,924259.0,164627.0,30.0,1.2273182849518234
NEBRASKA,1996,1909834.0,1940808.0,291967.0,31.0,0.6883446965386193
NEVADA,1996,1551169.0,1608989.0,282131.0,32.0,0.7125136095097007
PENNSYLVANIA,1996,14671368.0,15048791.0,1804256.0,42.0,0.11074983631662468
TENNESSEE,1996,4123018.0,4284181.0,904818.0,47.0,0.22108455487349665
TEXAS,1996,22241369.0,22401797.0,3828975.0,48.0,0.052156021760244836
VERMONT,1996,965238.0,975817.0,106341.0,50.0,1.9128851406392255
VIRGINIA,1996,6674519.0,6903384.0,1096093.0,51.0,0.18243355022452304
WASHINGTON,1996,6354593.0,6578388.0,974504.0,53.0,0.20524252756789663
WISCONSIN,1996,6342623.0,6521058.0,879259.0,55.0,0.22752583888754
WYOMING,1996,664057.0,676305.0,99058.0,56.0,2.0564175475469284
CALIFORNIA,1997,35614934.0,33862281.0,5803887.0,6.0,0.034419818369531306
COLORADO,1997,4133275.0,4398196.0,687167.0,8.0,0.291460513449217
CONNECTICUT,1997,4788489.0,4642835.0,535164.0,9.0,0.3745543141267183
DELAWARE,1997,898926.0,889631.0,111960.0,10.0,1.8160654038176478
FLORIDA,1997,14363709.0,14564750.0,2294077.0,12.0,0.08712610380091446
GEORGIA,1997,8248199.0,8483477.0,1375980.0,13.0,0.1453438652443298
HAWAII,1997,1213792.0,1241375.0,189887.0,15.0,1.0628559263398796
KANSAS,1997,3029537.0,2949608.0,468687.0,20.0,0.4279071760697679
KENTUCKY,1997,3842885.0,3903139.0,669322.0,21.0,0.29925448619488254
LOUISIANA,1997,4106095.0,4027228.0,776813.0,22.0,0.2577386114896956
MAINE,1997,1537085.0,1527663.0,212579.0,23.0,0.9483241682574959
MARYLAND,1997,6040883.0,6217120.0,830744.0,24.0,0.24096618147637336
MASSACHUSETTS,1997,7585624.0,7479407.0,949006.0,25.0,0.21087444786691573
MICHIGAN,1997,13759710.0,14235902.0,1702717.0,26.0,0.11742085704877935
MINNESOTA,1997,6304977.0,6890773.0,853621.0,27.0,0.23449315660432302
MISSISSIPPI,1997,2274700.0,2319324.0,504792.0,28.0,0.39717976511301817
MISSOURI,1997,5550134.0,5527705.0,910613.0,29.0,0.219784815587663
MONTANA,1997,989991.0,972059.0,162335.0,30.0,1.245493894148611
NEBRASKA,1997,1994021.0,1946725.0,292681.0,31.0,0.6870003164948879
NEVADA,1997,1701290.0,1905940.0,296621.0,32.0,0.6778130770066254
PENNSYLVANIA,1997,15184431.0,15777276.0,1815151.0,42.0,0.11013956895001749
TENNESSEE,1997,4390879.0,4695409.0,893044.0,47.0,0.22411836861579693
TEXAS,1997,23091567.0,23671010.0,3891877.0,48.0,0.05133834462759776
VERMONT,1997,1022546.0,1069297.0,105984.0,50.0,1.920432361737525
VIRGINIA,1997,7345090.0,7436340.0,1110815.0,51.0,0.18010169387582092
WASHINGTON,1997,6667626.0,6792261.0,991235.0,53.0,0.20187255240902593
WISCONSIN,1997,6724752.0,6990489.0,881780.0,55.0,0.22698779130762925
WYOMING,1997,660079.0,695127.0,97115.0,56.0,2.0994974663050106
CALIFORNIA,1998,39183018.0,38087666.0,5926037.0,6.0,0.03372698930577601
COLORADO,1998,4359021.0,4739136.0,699135.0,8.0,0.28660076857203104
CONNECTICUT,1998,5024673.0,4810851.0,544698.0,9.0,0.3681592039800995
DELAWARE,1998,934530.0,915207.0,113262.0,10.0,1.7957290767903367
FLORIDA,1998,15595671.0,15155383.0,2337633.0,12.0,0.08554418819721403
GEORGIA,1998,9207163.0,8990897.0,1401291.0,13.0,0.14278639284267125
HAWAII,1998,1279125.0,1266378.0,188069.0,15.0,1.073783663225328
KANSAS,1998,3207670.0,3087318.0,472353.0,20.0,0.4247855343304525
KENTUCKY,1998,3938009.0,4018512.0,655687.0,21.0,0.3056499344489505
LOUISIANA,1998,4443468.0,4379797.0,768734.0,22.0,0.2605851296926191
MAINE,1998,1611926.0,1601411.0,211051.0,23.0,0.9557384969361836
MARYLAND,1998,6521269.0,6519389.0,841671.0,24.0,0.23794977330460787
MASSACHUSETTS,1998,7726497.0,8098720.0,962317.0,25.0,0.20805586476993582
